voltage,current,temperature,resistance,frequency,power,fault
228.34,10.52,34.23,22.89,50.12,2401.97,0
232.45,9.87,36.54,23.45,49.87,2296.30,0
229.12,10.34,35.67,23.12,50.23,2368.51,0
231.23,10.01,35.12,22.98,50.01,2314.90,0
227.89,10.45,36.23,23.67,49.98,2381.53,0
230.56,9.99,34.89,22.76,50.11,2302.09,0
229.87,10.23,35.45,23.34,49.95,2353.15,0
232.10,10.12,36.01,23.01,50.13,2347.43,0
228.45,10.34,34.76,23.45,50.02,2361.71,0
230.23,9.87,35.89,22.67,50.08,2274.77,0
246.78,14.56,52.34,19.23,49.45,3587.16,1
243.45,15.23,54.67,20.12,48.76,3707.60,1
248.90,13.87,50.12,19.98,51.23,3451.35,1
241.23,16.01,55.89,19.45,49.87,3859.81,1
245.67,14.34,51.23,20.01,48.92,3518.78,1
244.12,15.67,53.45,19.78,51.01,3825.21,1
247.56,14.89,52.01,19.67,49.34,3690.96,1
242.89,15.45,54.23,19.89,50.56,3754.97,1
246.34,13.98,50.89,20.34,48.67,3441.93,1
243.11,15.12,53.67,19.56,51.34,3672.13,1
231.45,9.98,35.34,23.12,50.02,2293.69,0
229.23,10.45,36.78,22.95,49.89,2393.59,0
230.89,9.78,34.56,23.45,50.14,2252.93,0
228.67,10.23,35.12,23.01,50.01,2328.43,0
232.11,10.06,36.45,22.87,49.92,2340.41,0
229.99,10.34,35.23,23.21,50.08,2376.87,0
231.78,9.87,34.89,23.34,50.03,2279.63,0
230.45,10.15,36.12,22.76,49.99,2338.49,0
228.92,10.42,35.67,23.12,50.11,2375.86,0
232.34,9.99,34.45,23.45,50.05,2317.80,0
247.89,15.34,51.56,19.98,51.12,3759.41,1
244.56,14.67,52.89,20.12,48.87,3581.04,1
245.23,15.89,53.12,19.45,50.23,3889.18,1
243.78,14.23,50.67,20.01,49.65,3593.01,1
246.12,16.01,54.34,19.67,51.45,3939.60,1
242.45,15.12,51.23,19.89,48.98,3630.84,1
248.67,14.56,52.45,20.34,50.12,3605.47,1
241.89,15.67,53.89,19.56,49.34,3810.39,1
244.34,14.89,50.12,20.23,51.01,3575.47,1
247.56,15.23,54.67,19.78,49.87,3879.09,1
230.12,10.01,35.45,23.23,50.09,2302.20,0
229.45,10.34,36.01,23.01,49.95,2353.53,0
231.67,9.99,34.78,23.34,50.01,2316.37,0
228.89,10.12,35.89,22.98,50.08,2331.09,0
232.23,10.45,36.23,23.12,49.99,2417.44,0
229.78,9.87,34.56,23.45,50.11,2274.86,0
230.56,10.23,35.12,22.87,49.98,2360.87,0
231.34,10.06,36.34,23.01,50.02,2337.40,0
228.45,10.34,35.78,23.21,50.13,2375.43,0
232.01,9.98,34.89,23.34,49.96,2305.70,0
245.34,15.56,52.34,19.89,50.98,3805.29,1
243.12,14.78,51.12,20.12,49.23,3547.89,1
246.89,15.01,53.45,19.67,51.12,3830.36,1
244.67,15.34,50.89,19.95,48.99,3725.76,1
242.23,14.45,52.01,20.23,50.45,3590.54,1
247.56,16.23,54.12,19.45,49.67,4009.41,1
241.78,15.67,51.56,19.78,51.01,3826.82,1
248.12,14.89,53.23,20.01,48.87,3688.70,1
243.45,15.12,50.34,20.12,50.23,3690.54,1
246.01,14.56,52.78,19.89,49.95,3601.34,1
